
#
# Start of IEEE IAB registry data
#
40D8550D7	Avant Technologies
0050C2F71	RF Code
0050C29CC	Hirotech inc.
0050C2414	Talleres de Escoriaza SA
0050C21F5	Abest Communication Corp.
0050C2F05	ESI Ventures, LLC
0050C2F9B	NEWELL TECHNOLOGIES LIMITED
0050C234D	BMK professional electronics GmbH
40D85508E	Lyngsoe Systems
0050C2D02	SURVALENT TECHNOLOGY CORP
0050C2A2A	Astronics Custom Control Concepts
0050C2462	CT Company
0050C2FB3	CT Company
0050C2F24	CT Company
40D855072	CT Company
40D855098	DAVE SRL
0050C227C	Danlaw Inc
0050C2E64	Edgeware AB
0050C27D5	DEUTA-WERKE GmbH
40D85511C	DEUTA-WERKE GmbH
40D8551A1	KRONOTECH SRL
0050C2CF9	Elbit Systems of America
0050C2F6B	Algodue Elettronica Srl
0050C21FA	SP Controls, Inc
0050C2811	Open System Solutions Limited
40D855010	APG Cash Drawer, LLC
0050C2F74	Thor Technologies Pty Ltd
0050C224E	Scharff Weisberg Systems Integration Inc
0050C28F9	Honeywell
0050C2616	Honeywell
0050C2872	Oliotalo Oy
40D8550F4	MB connect line GmbH Fernwartungssysteme
0050C2B1F	Atlas Copco IAS GmbH
0050C2B25	Triax A/S
0050C2CD3	Covidence A/S
0050C2E67	Critical Link LLC
0050C28F4	Critical Link LLC
0050C2384	Wireless Reading Systems Holding ASA
0050C2AE3	PSD
0050C2192	Advanced Concepts, Inc.
0050C225F	Albert Handtmann Maschinenfabrik GmbH&Co.KG
0050C23BA	Phytec Messtechnik GmbH
0050C2144	Phytec Messtechnik GmbH
0050C2134	DRS Photronics
0050C26C6	MedAvant Healthcare
0050C2230	AutoTOOLS group Co. Ltd.
0050C28F0	Xentras Communications
0050C202C	Narrowband Telecommunications
0050C2AF0	Fr. Sauter AG
0050C2194	Cominfo, Inc.
0050C2E4C	Applied Micro Electronics AME bv
0050C2E70	DORLET SAU
0050C2C6C	DORLET SAU
0050C2796	DORLET SAU
0050C2DDE	DRS Imaging and Targeting Solutions
0050C2172	SAET I.S. S.r.l.
0050C257D	Sierra Video Systems
40D855155	Telefrang AB
0050C2A8B	Navicron Oy
0050C23C0	EDA Industries Pte. Ltd
0050C2681	Owasys Advanced Wireless Devices
0050C2B37	IAdea Corporation
0050C2D43	DSP4YOU LTd
0050C2F90	SecureTech Systems, Inc.
0050C2178	Partner Voxstream A/S
0050C273A	Naturela Ltd.
0050C25BD	NOMUS COMM SYSTEMS
0050C220E	PYRAMID Computer GmbH
0050C2E18	ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd.
40D855182	Georg Neumann GmbH
0050C2EAE	Alyrica Networks
0050C292A	Rohde&Schwarz Topex SA
0050C2BFA	Rohde&Schwarz Topex SA
0050C2D47	Rohde&Schwarz Topex SA
0050C2EAD	Rohde&Schwarz Topex SA
0050C25A6	Plastic Logic
0050C2FAB	Aplex Technology Inc.
0050C23E5	Vacon Plc
0050C233A	United Telecoms Ltd
0050C2552	Elfiq Inc.
0050C2C61	HaiVision Systems Incorporated
0050C2A44	TORC Technologies
0050C2F87	Vaisala Oyj
0050C20B8	LAN Controls, Inc.
0050C23E2	SysNova
0050C2956	Sicon srl
0050C253F	Ellips B.V.
0050C212F	Haag-Streit AG
0050C2143	AARTESYS AG
0050C25C2	Intuitive Surgical, Inc
0050C2FA5	Intuitive Surgical, Inc
